2, 1, 100, 1, 0.010000, 1.000000
4, 6, 100, 9, 0.060000, 0.666667
9, 3, 100, 4, 0.030000, 0.750000
18, 1, 100, 1, 0.010000, 1.000000
19, 0, 100, 2, 0.000000, 0.000000
20, 3, 100, 10, 0.030000, 0.300000
25, 3, 100, 6, 0.030000, 0.500000
26, 1, 100, 3, 0.010000, 0.333333
28, 2, 100, 2, 0.020000, 1.000000
29, 2, 100, 2, 0.020000, 1.000000
30, 8, 100, 8, 0.080000, 1.000000
34, 0, 100, 1, 0.000000, 0.000000
41, 1, 100, 3, 0.010000, 0.333333
46, 1, 100, 1, 0.010000, 1.000000
47, 4, 100, 4, 0.040000, 1.000000
52, 1, 100, 1, 0.010000, 1.000000
53, 1, 100, 1, 0.010000, 1.000000
55, 7, 100, 10, 0.070000, 0.700000
59, 2, 100, 2, 0.020000, 1.000000
60, 4, 100, 15, 0.040000, 0.266667
61, 3, 100, 7, 0.030000, 0.428571
64, 1, 100, 2, 0.010000, 0.500000
66, 9, 100, 16, 0.090000, 0.562500
74, 1, 100, 1, 0.010000, 1.000000
75, 4, 100, 6, 0.040000, 0.666667
76, 4, 100, 4, 0.040000, 1.000000
78, 1, 100, 2, 0.010000, 0.500000
79, 3, 100, 6, 0.030000, 0.500000
80, 2, 100, 2, 0.020000, 1.000000
81, 1, 100, 3, 0.010000, 0.333333
83, 1, 100, 1, 0.010000, 1.000000
84, 1, 100, 1, 0.010000, 1.000000
86, 1, 100, 1, 0.010000, 1.000000
89, 2, 100, 2, 0.020000, 1.000000
90, 3, 100, 3, 0.030000, 1.000000
96, 2, 100, 2, 0.020000, 1.000000
107, 2, 100, 2, 0.020000, 1.000000
108, 1, 100, 1, 0.010000, 1.000000
109, 0, 100, 1, 0.000000, 0.000000
111, 1, 100, 2, 0.010000, 0.500000
113, 1, 100, 1, 0.010000, 1.000000
114, 3, 100, 3, 0.030000, 1.000000
116, 1, 100, 1, 0.010000, 1.000000
117, 3, 100, 5, 0.030000, 0.600000
118, 4, 100, 10, 0.040000, 0.400000
119, 1, 100, 2, 0.010000, 0.500000
124, 2, 100, 2, 0.020000, 1.000000
128, 1, 100, 2, 0.010000, 0.500000
130, 4, 100, 6, 0.040000, 0.666667
139, 0, 100, 1, 0.000000, 0.000000
145, 2, 100, 4, 0.020000, 0.500000
147, 3, 100, 4, 0.030000, 0.750000
149, 0, 100, 1, 0.000000, 0.000000
150, 1, 100, 1, 0.010000, 1.000000
151, 1, 100, 2, 0.010000, 0.500000
155, 0, 100, 2, 0.000000, 0.000000
156, 1, 100, 1, 0.010000, 1.000000
157, 9, 100, 13, 0.090000, 0.692308
159, 1, 100, 1, 0.010000, 1.000000
160, 4, 100, 4, 0.040000, 1.000000
162, 1, 100, 4, 0.010000, 0.250000
168, 4, 100, 5, 0.040000, 0.800000
173, 11, 100, 19, 0.110000, 0.578947
174, 1, 100, 1, 0.010000, 1.000000
175, 3, 100, 5, 0.030000, 0.600000
179, 4, 100, 7, 0.040000, 0.571429
181, 0, 100, 2, 0.000000, 0.000000
182, 1, 100, 2, 0.010000, 0.500000
187, 1, 100, 1, 0.010000, 1.000000
192, 1, 100, 1, 0.010000, 1.000000
194, 0, 100, 1, 0.000000, 0.000000
196, 3, 100, 5, 0.030000, 0.600000
197, 3, 100, 3, 0.030000, 1.000000
199, 0, 100, 4, 0.000000, 0.000000
200, 0, 100, 1, 0.000000, 0.000000
202, 1, 100, 4, 0.010000, 0.250000
207, 12, 100, 32, 0.120000, 0.375000
210, 1, 100, 2, 0.010000, 0.500000
212, 4, 100, 5, 0.040000, 0.800000
214, 1, 100, 1, 0.010000, 1.000000
218, 1, 100, 1, 0.010000, 1.000000
221, 0, 100, 1, 0.000000, 0.000000
222, 4, 100, 8, 0.040000, 0.500000
223, 2, 100, 6, 0.020000, 0.333333
228, 2, 100, 3, 0.020000, 0.666667
229, 0, 100, 2, 0.000000, 0.000000
230, 5, 100, 5, 0.050000, 1.000000
233, 1, 100, 4, 0.010000, 0.250000
234, 3, 100, 4, 0.030000, 0.750000
